,ecorregion_nivel_1,fecha,num_incendios,area_km2_ecorregiones,incendios_cada_km2
152,Elevaciones Semiaridas Meridionales,2003-05-22,2,453940974.5789417,4.405859157911717e-09
153,Elevaciones Semiaridas Meridionales,2003-05-24,1,453940974.5789417,2.2029295789558583e-09
154,Elevaciones Semiaridas Meridionales,2003-05-26,2,453940974.5789417,4.405859157911717e-09
155,Elevaciones Semiaridas Meridionales,2003-05-27,2,453940974.5789417,4.405859157911717e-09
156,Elevaciones Semiaridas Meridionales,2003-06-14,2,453940974.5789417,4.405859157911717e-09
157,Elevaciones Semiaridas Meridionales,2003-06-15,1,453940974.5789417,2.2029295789558583e-09
158,Elevaciones Semiaridas Meridionales,2003-06-16,8,453940974.5789417,1.7623436631646867e-08
159,Elevaciones Semiaridas Meridionales,2003-06-17,3,453940974.5789417,6.608788736867575e-09
160,Elevaciones Semiaridas Meridionales,2003-06-18,7,453940974.5789417,1.542050705269101e-08
161,Elevaciones Semiaridas Meridionales,2003-06-19,8,453940974.5789417,1.7623436631646867e-08
162,Elevaciones Semiaridas Meridionales,2003-06-20,7,453940974.5789417,1.542050705269101e-08
163,Elevaciones Semiaridas Meridionales,2003-06-21,10,453940974.5789417,2.2029295789558582e-08
164,Elevaciones Semiaridas Meridionales,2003-06-22,1,453940974.5789417,2.2029295789558583e-09
165,Elevaciones Semiaridas Meridionales,2003-06-23,1,453940974.5789417,2.2029295789558583e-09
166,Elevaciones Semiaridas Meridionales,2003-06-25,1,453940974.5789417,2.2029295789558583e-09
167,Elevaciones Semiaridas Meridionales,2003-06-30,1,453940974.5789417,2.2029295789558583e-09
168,Elevaciones Semiaridas Meridionales,2003-07-04,2,453940974.5789417,4.405859157911717e-09
169,Elevaciones Semiaridas Meridionales,2003-07-06,5,453940974.5789417,1.1014647894779291e-08
170,Elevaciones Semiaridas Meridionales,2003-07-14,1,453940974.5789417,2.2029295789558583e-09
171,Elevaciones Semiaridas Meridionales,2003-07-16,15,453940974.5789417,3.3043943684337876e-08
172,Elevaciones Semiaridas Meridionales,2003-07-23,1,453940974.5789417,2.2029295789558583e-09
173,Elevaciones Semiaridas Meridionales,2003-10-01,1,453940974.5789417,2.2029295789558583e-09
174,Elevaciones Semiaridas Meridionales,2003-11-18,1,453940974.5789417,2.2029295789558583e-09
175,Elevaciones Semiaridas Meridionales,2003-11-24,1,453940974.5789417,2.2029295789558583e-09
176,Elevaciones Semiaridas Meridionales,2003-11-25,2,453940974.5789417,4.405859157911717e-09
177,Elevaciones Semiaridas Meridionales,2003-11-27,1,453940974.5789417,2.2029295789558583e-09
178,Elevaciones Semiaridas Meridionales,2003-12-01,2,453940974.5789417,4.405859157911717e-09
179,Elevaciones Semiaridas Meridionales,2003-12-02,1,453940974.5789417,2.2029295789558583e-09
180,Elevaciones Semiaridas Meridionales,2003-12-09,1,453940974.5789417,2.2029295789558583e-09
181,Elevaciones Semiaridas Meridionales,2003-12-11,2,453940974.5789417,4.405859157911717e-09
182,Elevaciones Semiaridas Meridionales,2003-12-13,4,453940974.5789417,8.811718315823433e-09
183,Elevaciones Semiaridas Meridionales,2003-12-15,5,453940974.5789417,1.1014647894779291e-08
184,Elevaciones Semiaridas Meridionales,2003-12-20,1,453940974.5789417,2.2029295789558583e-09
185,Elevaciones Semiaridas Meridionales,2003-12-22,9,453940974.5789417,1.9826366210602724e-08
186,Elevaciones Semiaridas Meridionales,2003-12-27,4,453940974.5789417,8.811718315823433e-09
187,Elevaciones Semiaridas Meridionales,2004-01-03,1,453940974.5789417,2.2029295789558583e-09
188,Elevaciones Semiaridas Meridionales,2004-01-20,1,453940974.5789417,2.2029295789558583e-09
189,Elevaciones Semiaridas Meridionales,2004-01-21,2,453940974.5789417,4.405859157911717e-09
190,Elevaciones Semiaridas Meridionales,2004-01-26,2,453940974.5789417,4.405859157911717e-09
191,Elevaciones Semiaridas Meridionales,2004-01-27,1,453940974.5789417,2.2029295789558583e-09
192,Elevaciones Semiaridas Meridionales,2004-01-30,1,453940974.5789417,2.2029295789558583e-09
193,Elevaciones Semiaridas Meridionales,2004-02-01,2,453940974.5789417,4.405859157911717e-09
194,Elevaciones Semiaridas Meridionales,2004-02-03,1,453940974.5789417,2.2029295789558583e-09
195,Elevaciones Semiaridas Meridionales,2004-02-04,1,453940974.5789417,2.2029295789558583e-09
196,Elevaciones Semiaridas Meridionales,2004-02-06,2,453940974.5789417,4.405859157911717e-09
197,Elevaciones Semiaridas Meridionales,2004-02-15,6,453940974.5789417,1.321757747373515e-08
198,Elevaciones Semiaridas Meridionales,2004-02-16,1,453940974.5789417,2.2029295789558583e-09
199,Elevaciones Semiaridas Meridionales,2004-02-17,7,453940974.5789417,1.542050705269101e-08
200,Elevaciones Semiaridas Meridionales,2004-02-20,2,453940974.5789417,4.405859157911717e-09
201,Elevaciones Semiaridas Meridionales,2004-02-22,2,453940974.5789417,4.405859157911717e-09
202,Elevaciones Semiaridas Meridionales,2004-02-23,4,453940974.5789417,8.811718315823433e-09
203,Elevaciones Semiaridas Meridionales,2004-02-24,2,453940974.5789417,4.405859157911717e-09
204,Elevaciones Semiaridas Meridionales,2004-02-26,1,453940974.5789417,2.2029295789558583e-09
205,Elevaciones Semiaridas Meridionales,2004-02-27,4,453940974.5789417,8.811718315823433e-09
206,Elevaciones Semiaridas Meridionales,2004-02-29,1,453940974.5789417,2.2029295789558583e-09
207,Elevaciones Semiaridas Meridionales,2004-03-02,3,453940974.5789417,6.608788736867575e-09
208,Elevaciones Semiaridas Meridionales,2004-03-03,1,453940974.5789417,2.2029295789558583e-09
209,Elevaciones Semiaridas Meridionales,2004-03-07,2,453940974.5789417,4.405859157911717e-09
210,Elevaciones Semiaridas Meridionales,2004-03-14,2,453940974.5789417,4.405859157911717e-09
211,Elevaciones Semiaridas Meridionales,2004-03-18,3,453940974.5789417,6.608788736867575e-09
212,Elevaciones Semiaridas Meridionales,2004-03-20,2,453940974.5789417,4.405859157911717e-09
213,Elevaciones Semiaridas Meridionales,2004-03-25,2,453940974.5789417,4.405859157911717e-09
214,Elevaciones Semiaridas Meridionales,2004-03-26,1,453940974.5789417,2.2029295789558583e-09
215,Elevaciones Semiaridas Meridionales,2004-03-27,1,453940974.5789417,2.2029295789558583e-09
216,Elevaciones Semiaridas Meridionales,2004-03-28,2,453940974.5789417,4.405859157911717e-09
217,Elevaciones Semiaridas Meridionales,2004-03-30,1,453940974.5789417,2.2029295789558583e-09
218,Elevaciones Semiaridas Meridionales,2004-04-12,2,453940974.5789417,4.405859157911717e-09
219,Elevaciones Semiaridas Meridionales,2004-04-13,3,453940974.5789417,6.608788736867575e-09
220,Elevaciones Semiaridas Meridionales,2004-04-17,2,453940974.5789417,4.405859157911717e-09
221,Elevaciones Semiaridas Meridionales,2004-04-19,1,453940974.5789417,2.2029295789558583e-09
222,Elevaciones Semiaridas Meridionales,2004-04-21,3,453940974.5789417,6.608788736867575e-09
223,Elevaciones Semiaridas Meridionales,2004-04-22,2,453940974.5789417,4.405859157911717e-09
224,Elevaciones Semiaridas Meridionales,2004-04-24,8,453940974.5789417,1.7623436631646867e-08
225,Elevaciones Semiaridas Meridionales,2004-04-26,3,453940974.5789417,6.608788736867575e-09
226,Elevaciones Semiaridas Meridionales,2004-04-29,1,453940974.5789417,2.2029295789558583e-09
227,Elevaciones Semiaridas Meridionales,2004-04-30,1,453940974.5789417,2.2029295789558583e-09
228,Elevaciones Semiaridas Meridionales,2004-05-01,1,453940974.5789417,2.2029295789558583e-09
229,Elevaciones Semiaridas Meridionales,2004-05-03,2,453940974.5789417,4.405859157911717e-09
230,Elevaciones Semiaridas Meridionales,2004-05-10,2,453940974.5789417,4.405859157911717e-09
231,Elevaciones Semiaridas Meridionales,2004-05-12,4,453940974.5789417,8.811718315823433e-09
232,Elevaciones Semiaridas Meridionales,2004-05-14,6,453940974.5789417,1.321757747373515e-08
233,Elevaciones Semiaridas Meridionales,2004-05-15,3,453940974.5789417,6.608788736867575e-09
234,Elevaciones Semiaridas Meridionales,2004-05-16,1,453940974.5789417,2.2029295789558583e-09
235,Elevaciones Semiaridas Meridionales,2004-05-17,4,453940974.5789417,8.811718315823433e-09
236,Elevaciones Semiaridas Meridionales,2004-05-18,4,453940974.5789417,8.811718315823433e-09
237,Elevaciones Semiaridas Meridionales,2004-05-19,5,453940974.5789417,1.1014647894779291e-08
238,Elevaciones Semiaridas Meridionales,2004-05-20,3,453940974.5789417,6.608788736867575e-09
239,Elevaciones Semiaridas Meridionales,2004-05-21,2,453940974.5789417,4.405859157911717e-09
240,Elevaciones Semiaridas Meridionales,2004-05-22,5,453940974.5789417,1.1014647894779291e-08
241,Elevaciones Semiaridas Meridionales,2004-05-24,6,453940974.5789417,1.321757747373515e-08
242,Elevaciones Semiaridas Meridionales,2004-05-26,1,453940974.5789417,2.2029295789558583e-09
243,Elevaciones Semiaridas Meridionales,2004-06-22,2,453940974.5789417,4.405859157911717e-09
244,Elevaciones Semiaridas Meridionales,2004-11-04,2,453940974.5789417,4.405859157911717e-09
245,Elevaciones Semiaridas Meridionales,2004-11-11,1,453940974.5789417,2.2029295789558583e-09
246,Elevaciones Semiaridas Meridionales,2004-11-22,1,453940974.5789417,2.2029295789558583e-09
247,Elevaciones Semiaridas Meridionales,2004-11-24,2,453940974.5789417,4.405859157911717e-09
248,Elevaciones Semiaridas Meridionales,2004-11-25,2,453940974.5789417,4.405859157911717e-09
249,Elevaciones Semiaridas Meridionales,2004-11-26,1,453940974.5789417,2.2029295789558583e-09
250,Elevaciones Semiaridas Meridionales,2004-11-27,1,453940974.5789417,2.2029295789558583e-09
251,Elevaciones Semiaridas Meridionales,2004-11-29,1,453940974.5789417,2.2029295789558583e-09
252,Elevaciones Semiaridas Meridionales,2004-11-30,1,453940974.5789417,2.2029295789558583e-09
253,Elevaciones Semiaridas Meridionales,2004-12-08,5,453940974.5789417,1.1014647894779291e-08
254,Elevaciones Semiaridas Meridionales,2004-12-09,2,453940974.5789417,4.405859157911717e-09
255,Elevaciones Semiaridas Meridionales,2004-12-10,2,453940974.5789417,4.405859157911717e-09
256,Elevaciones Semiaridas Meridionales,2004-12-12,1,453940974.5789417,2.2029295789558583e-09
257,Elevaciones Semiaridas Meridionales,2004-12-13,2,453940974.5789417,4.405859157911717e-09
258,Elevaciones Semiaridas Meridionales,2004-12-15,3,453940974.5789417,6.608788736867575e-09
259,Elevaciones Semiaridas Meridionales,2004-12-20,2,453940974.5789417,4.405859157911717e-09
