,tipo_suelo,fecha,num_incendios,area_km2_tipo_suelo,incendios_cada_km2
141,"Manejo agricola, pecuario y forestal (plantaciones)",2001-09-04,1,900196336.2952371,1.110868773489465e-09
142,"Manejo agricola, pecuario y forestal (plantaciones)",2001-09-07,1,900196336.2952371,1.110868773489465e-09
143,"Manejo agricola, pecuario y forestal (plantaciones)",2001-10-16,2,900196336.2952371,2.22173754697893e-09
144,"Manejo agricola, pecuario y forestal (plantaciones)",2001-10-20,1,900196336.2952371,1.110868773489465e-09
145,"Manejo agricola, pecuario y forestal (plantaciones)",2001-10-31,1,900196336.2952371,1.110868773489465e-09
146,"Manejo agricola, pecuario y forestal (plantaciones)",2001-11-12,1,900196336.2952371,1.110868773489465e-09
147,"Manejo agricola, pecuario y forestal (plantaciones)",2001-11-14,1,900196336.2952371,1.110868773489465e-09
148,"Manejo agricola, pecuario y forestal (plantaciones)",2001-11-15,1,900196336.2952371,1.110868773489465e-09
149,"Manejo agricola, pecuario y forestal (plantaciones)",2001-11-24,1,900196336.2952371,1.110868773489465e-09
150,"Manejo agricola, pecuario y forestal (plantaciones)",2001-11-27,1,900196336.2952371,1.110868773489465e-09
151,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-01,1,900196336.2952371,1.110868773489465e-09
152,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-03,3,900196336.2952371,3.332606320468395e-09
153,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-05,1,900196336.2952371,1.110868773489465e-09
154,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-07,1,900196336.2952371,1.110868773489465e-09
155,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-16,2,900196336.2952371,2.22173754697893e-09
156,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-21,1,900196336.2952371,1.110868773489465e-09
157,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-22,1,900196336.2952371,1.110868773489465e-09
158,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-26,2,900196336.2952371,2.22173754697893e-09
159,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-04,1,900196336.2952371,1.110868773489465e-09
160,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-06,1,900196336.2952371,1.110868773489465e-09
161,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-10,2,900196336.2952371,2.22173754697893e-09
162,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-18,2,900196336.2952371,2.22173754697893e-09
163,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-19,1,900196336.2952371,1.110868773489465e-09
164,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-20,1,900196336.2952371,1.110868773489465e-09
165,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-21,1,900196336.2952371,1.110868773489465e-09
166,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-23,2,900196336.2952371,2.22173754697893e-09
167,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-24,3,900196336.2952371,3.332606320468395e-09
168,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-25,5,900196336.2952371,5.554343867447325e-09
169,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-27,1,900196336.2952371,1.110868773489465e-09
170,"Manejo agricola, pecuario y forestal (plantaciones)",2002-01-30,1,900196336.2952371,1.110868773489465e-09
171,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-03,1,900196336.2952371,1.110868773489465e-09
172,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-16,1,900196336.2952371,1.110868773489465e-09
173,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-19,2,900196336.2952371,2.22173754697893e-09
174,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-20,2,900196336.2952371,2.22173754697893e-09
175,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-23,8,900196336.2952371,8.88695018791572e-09
176,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-25,1,900196336.2952371,1.110868773489465e-09
177,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-26,2,900196336.2952371,2.22173754697893e-09
178,"Manejo agricola, pecuario y forestal (plantaciones)",2002-02-27,6,900196336.2952371,6.66521264093679e-09
179,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-01,1,900196336.2952371,1.110868773489465e-09
180,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-02,1,900196336.2952371,1.110868773489465e-09
181,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-03,1,900196336.2952371,1.110868773489465e-09
182,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-04,1,900196336.2952371,1.110868773489465e-09
183,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-06,1,900196336.2952371,1.110868773489465e-09
184,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-07,1,900196336.2952371,1.110868773489465e-09
185,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-08,2,900196336.2952371,2.22173754697893e-09
186,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-09,5,900196336.2952371,5.554343867447325e-09
187,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-10,4,900196336.2952371,4.44347509395786e-09
188,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-11,2,900196336.2952371,2.22173754697893e-09
189,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-13,2,900196336.2952371,2.22173754697893e-09
190,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-14,1,900196336.2952371,1.110868773489465e-09
191,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-15,1,900196336.2952371,1.110868773489465e-09
192,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-17,4,900196336.2952371,4.44347509395786e-09
193,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-18,4,900196336.2952371,4.44347509395786e-09
194,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-29,4,900196336.2952371,4.44347509395786e-09
195,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-30,2,900196336.2952371,2.22173754697893e-09
196,"Manejo agricola, pecuario y forestal (plantaciones)",2002-03-31,8,900196336.2952371,8.88695018791572e-09
197,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-01,2,900196336.2952371,2.22173754697893e-09
198,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-02,1,900196336.2952371,1.110868773489465e-09
199,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-03,6,900196336.2952371,6.66521264093679e-09
200,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-04,6,900196336.2952371,6.66521264093679e-09
201,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-05,5,900196336.2952371,5.554343867447325e-09
202,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-06,4,900196336.2952371,4.44347509395786e-09
203,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-07,5,900196336.2952371,5.554343867447325e-09
204,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-08,6,900196336.2952371,6.66521264093679e-09
205,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-09,11,900196336.2952371,1.2219556508384116e-08
206,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-10,8,900196336.2952371,8.88695018791572e-09
207,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-11,2,900196336.2952371,2.22173754697893e-09
208,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-12,10,900196336.2952371,1.110868773489465e-08
209,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-13,6,900196336.2952371,6.66521264093679e-09
210,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-16,8,900196336.2952371,8.88695018791572e-09
211,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-17,9,900196336.2952371,9.997818961405185e-09
212,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-18,9,900196336.2952371,9.997818961405185e-09
213,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-19,7,900196336.2952371,7.776081414426256e-09
214,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-20,9,900196336.2952371,9.997818961405185e-09
215,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-21,6,900196336.2952371,6.66521264093679e-09
216,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-22,6,900196336.2952371,6.66521264093679e-09
217,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-23,10,900196336.2952371,1.110868773489465e-08
218,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-24,3,900196336.2952371,3.332606320468395e-09
219,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-25,14,900196336.2952371,1.555216282885251e-08
220,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-26,8,900196336.2952371,8.88695018791572e-09
221,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-27,17,900196336.2952371,1.8884769149320906e-08
222,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-28,11,900196336.2952371,1.2219556508384116e-08
223,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-29,7,900196336.2952371,7.776081414426256e-09
224,"Manejo agricola, pecuario y forestal (plantaciones)",2002-04-30,18,900196336.2952371,1.999563792281037e-08
225,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-01,11,900196336.2952371,1.2219556508384116e-08
226,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-02,32,900196336.2952371,3.554780075166288e-08
227,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-03,15,900196336.2952371,1.6663031602341975e-08
228,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-04,28,900196336.2952371,3.110432565770502e-08
229,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-05,12,900196336.2952371,1.333042528187358e-08
230,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-06,12,900196336.2952371,1.333042528187358e-08
231,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-07,9,900196336.2952371,9.997818961405185e-09
232,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-08,18,900196336.2952371,1.999563792281037e-08
233,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-09,24,900196336.2952371,2.666085056374716e-08
234,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-10,8,900196336.2952371,8.88695018791572e-09
235,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-11,19,900196336.2952371,2.1106506696299837e-08
236,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-12,10,900196336.2952371,1.110868773489465e-08
237,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-13,7,900196336.2952371,7.776081414426256e-09
238,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-14,2,900196336.2952371,2.22173754697893e-09
239,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-15,2,900196336.2952371,2.22173754697893e-09
240,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-16,7,900196336.2952371,7.776081414426256e-09
241,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-17,4,900196336.2952371,4.44347509395786e-09
242,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-18,2,900196336.2952371,2.22173754697893e-09
243,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-19,1,900196336.2952371,1.110868773489465e-09
244,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-20,2,900196336.2952371,2.22173754697893e-09
245,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-21,4,900196336.2952371,4.44347509395786e-09
246,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-22,2,900196336.2952371,2.22173754697893e-09
247,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-23,11,900196336.2952371,1.2219556508384116e-08
248,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-24,8,900196336.2952371,8.88695018791572e-09
249,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-25,4,900196336.2952371,4.44347509395786e-09
250,"Manejo agricola, pecuario y forestal (plantaciones)",2002-05-27,1,900196336.2952371,1.110868773489465e-09
