,tipo_suelo,fecha,num_incendios,area_km2_tipo_suelo_x,incendios_cada_km2,area_km2_tipo_suelo_y
107,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-28,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
108,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-29,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
109,"Manejo agricola, pecuario y forestal (plantaciones)",2001-05-31,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
110,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-01,6,900196336.2952371,6.66521264093679e-09,900196336.2952371
111,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-03,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
112,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-05,7,900196336.2952371,7.776081414426256e-09,900196336.2952371
113,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-07,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
114,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-08,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
115,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-09,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
116,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-11,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
117,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-12,4,900196336.2952371,4.44347509395786e-09,900196336.2952371
118,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-13,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
119,"Manejo agricola, pecuario y forestal (plantaciones)",2001-06-14,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
120,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-04,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
121,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-07,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
122,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-09,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
123,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-11,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
124,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-12,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
125,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-13,5,900196336.2952371,5.554343867447325e-09,900196336.2952371
126,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-14,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
127,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-15,11,900196336.2952371,1.2219556508384116e-08,900196336.2952371
128,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-17,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
129,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-18,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
130,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-19,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
131,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-20,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
132,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-21,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
133,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-27,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
134,"Manejo agricola, pecuario y forestal (plantaciones)",2001-07-30,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
135,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-02,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
136,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-03,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
137,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-07,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
138,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-21,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
139,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-23,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
140,"Manejo agricola, pecuario y forestal (plantaciones)",2001-08-28,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
141,"Manejo agricola, pecuario y forestal (plantaciones)",2001-09-04,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
142,"Manejo agricola, pecuario y forestal (plantaciones)",2001-09-07,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
143,"Manejo agricola, pecuario y forestal (plantaciones)",2001-10-16,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
144,"Manejo agricola, pecuario y forestal (plantaciones)",2001-10-20,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
145,"Manejo agricola, pecuario y forestal (plantaciones)",2001-10-31,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
146,"Manejo agricola, pecuario y forestal (plantaciones)",2001-11-12,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
147,"Manejo agricola, pecuario y forestal (plantaciones)",2001-11-14,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
148,"Manejo agricola, pecuario y forestal (plantaciones)",2001-11-15,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
149,"Manejo agricola, pecuario y forestal (plantaciones)",2001-11-24,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
150,"Manejo agricola, pecuario y forestal (plantaciones)",2001-11-27,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
151,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-01,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
152,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-03,3,900196336.2952371,3.332606320468395e-09,900196336.2952371
153,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-05,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
154,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-07,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
155,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-16,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
156,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-21,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
157,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-22,1,900196336.2952371,1.110868773489465e-09,900196336.2952371
158,"Manejo agricola, pecuario y forestal (plantaciones)",2001-12-26,2,900196336.2952371,2.22173754697893e-09,900196336.2952371
